Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
03월 30일, NC,5회말,신민혁,2 고승민,4 (1-2),1루수 땅볼 아웃,2사 8:0,이닝종료 8:0,0.04,0.108,-0.108,0.70%,-0.001
05월 08일, 한화,7회말,김범수,2 고승민,5 (1-2),1루수 파울플라이 아웃,무사 0:5,1사 0:5,0.05,0.551,-0.268,98.50%,-0.001
05월 18일, 두산,9회초,이영하,3 고승민,4 (1-2),헛스윙 삼진,2사 3루 3:8,이닝종료 3:8,0.04,0.436,-0.436,100.00%,-0.002
05월 04일, 삼성,8회초,육선엽,2 고승민,5 (2-2),헛스윙 삼진,무사 1루 7:2,1사 1루 7:2,0.1,0.971,-0.425,1.70%,-0.002
05월 18일, 두산,7회초,김택연,3 고승민,5 (1-2),헛스윙 삼진,1사 3:8,2사 3:8,0.21,0.295,-0.177,98.40%,-0.005
05월 23일, KIA,7회말,이준영,3 고승민,4 (1-2),2루수 땅볼 아웃,무사 3:6,1사 3:6,0.21,0.56,-0.269,93.80%,-0.006
05월 31일, NC,2회말,최성영,3 고승민,5 (2-2),중견수 플라이 아웃,무사 1:6,1사 1:6,0.22,0.567,-0.27,91.60%,-0.006
03월 29일, NC,7회말,한재승,2 고승민,4 (0-2),우익수 플라이 아웃,1사 1:3,2사 1:3,0.31,0.275,-0.168,87.20%,-0.008
05월 16일, KT,5회초,쿠에바스,2 고승민,4 (1-2),2루수 땅볼 아웃,2사 2:0,이닝종료 2:0,0.34,0.116,-0.116,28.40%,-0.009
05월 24일, 삼성,1회말,레예스,2 고승민,5 (2-2),헛스윙 삼진,1사 5:0,2사 5:0,0.38,0.294,-0.176,11.10%,-0.01
05월 30일, 한화,1회초,김기중,3 고승민,4 (1-2),루킹 삼진,2사 0:0,이닝종료 0:0,0.4,0.119,-0.119,54.80%,-0.01
06월 02일, NC,1회말,신민혁,3 고승민,5 (1-2),우익수 플라이 아웃,2사 0:0,이닝종료 0:0,0.4,0.118,-0.118,50.00%,-0.01
05월 21일, KIA,1회말,네일,3 고승민,4 (2-1),유격수 땅볼 아웃,2사 1:0,이닝종료 1:0,0.42,0.118,-0.118,39.50%,-0.011
05월 25일, 삼성,3회말,이호성,3 고승민,2 (1-0),2루수 플라이 아웃,무사 0:3,1사 0:3,0.45,0.563,-0.269,83.20%,-0.011
05월 14일, KT,5회초,엄상백,2 고승민,5 (2-2),유격수 땅볼 아웃,2사 2:1,이닝종료 2:1,0.47,0.115,-0.115,41.20%,-0.012
06월 01일, NC,3회말,카스타노,3 고승민,2 (0-1),2루수 땅볼 아웃,2사 1:0,이닝종료 1:0,0.49,0.119,-0.119,37.50%,-0.013
05월 30일, 한화,4회초,김기중,3 고승민,6 (1-2),2루수 땅볼 아웃,2사 0:1,이닝종료 0:1,0.51,0.119,-0.119,68.80%,-0.013
06월 02일, NC,5회말,송명기,3 고승민,6 (3-2),중견수 플라이 아웃,2사 4:2,이닝종료 4:2,0.53,0.118,-0.118,21.70%,-0.014
05월 09일, 한화,5회말,김범수,2 고승민,6 (2-2),3루수 직선타 아웃,1사 2루 5:8,2사 2루 5:8,0.51,0.784,-0.393,88.10%,-0.014
03월 30일, NC,1회말,신민혁,2 고승민,9 (2-2),헛스윙 삼진,1사 3:0,2사 3:0,0.58,0.276,-0.168,22.70%,-0.014
05월 23일, KIA,5회말,곽도규,3 고승민,4 (1-2),루킹 삼진,무사 3:5,1사 3:5,0.57,0.56,-0.269,80.10%,-0.014
05월 08일, 한화,3회말,류현진,2 고승민,1 (0-0),좌익수 플라이 아웃,1사 0:1,2사 0:1,0.59,0.283,-0.171,63.50%,-0.015
03월 27일, KIA,7회초,장현식,2 고승민,6 (2-2),낫아웃 삼진,2사 2루 2:6,이닝종료 2:6,0.51,0.381,-0.381,97.20%,-0.015
03월 31일, NC,1회말,카스타노,2 고승민,3 (0-2),2루수 땅볼 아웃,1사 0:0,2사 0:0,0.62,0.275,-0.169,51.00%,-0.015
03월 29일, NC,1회말,김시훈,2 고승민,10 (3-2),1루수 땅볼 아웃,1사 0:0,2사 0:0,0.62,0.275,-0.168,51.00%,-0.015
05월 14일, KT,1회초,엄상백,2 고승민,3 (0-2),우익수 플라이 아웃,1사 0:0,2사 0:0,0.62,0.288,-0.173,53.80%,-0.016
05월 04일, 삼성,1회초,레예스,2 고승민,5 (2-2),우익수 플라이 아웃,1사 0:0,2사 0:0,0.62,0.283,-0.171,53.80%,-0.016
03월 27일, KIA,1회초,네일,2 고승민,5 (2-2),헛스윙 삼진,1사 0:0,2사 0:0,0.62,0.273,-0.168,53.80%,-0.016
03월 26일, KIA,1회초,양현종,2 고승민,4 (1-2),낫아웃 삼진,1사 0:0,2사 0:0,0.62,0.271,-0.167,53.80%,-0.016
03월 24일, SSG,1회초,엘리아스,2 고승민,4 (1-2),낫아웃 삼진,1사 0:0,2사 0:0,0.62,0.271,-0.167,53.80%,-0.016
05월 10일, LG,1회말,엔스,2 고승민,4 (1-2),2루수 땅볼 아웃,1사 2:0,2사 2:0,0.64,0.283,-0.171,30.90%,-0.016
