Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
10월 15일, 롯데,6회말,나균안,3 노시환,,1루주자 노시환 : 폭투로 2루 진루,무사 1루 2:2,무사 2루 2:2,2.07,0.94,0.309,66.80%,0.042
09월 19일, SSG,4회말,문승원,3 노시환,4 (3-0),4구,무사 0:0,무사 1루 0:0,1.07,0.523,0.417,60.20%,0.042
08월 03일, 두산,4회말,알칸타라,4 노시환,1 (0-0),중견수 방면 2루타,무사 0:2,무사 2루 0:2,0.6,0.523,0.726,83.10%,0.042
07월 30일, SSG,7회초,고효준,3 노시환,7 (3-2),4구,"2사 1,2루 1:4",2사 만루 1:4,1.65,0.484,0.46,85.90%,0.042
06월 17일, 키움,4회말,장재영,3 노시환,4 (1-2),우익수 방면 1루타,무사 3:0,무사 1루 3:0,0.97,0.523,0.417,25.20%,0.042
05월 25일, KIA,2회말,이의리,4 노시환,6 (3-2),4구,무사 1:0,무사 1루 1:0,0.99,0.523,0.417,48.10%,0.041
04월 14일, KT,3회초,벤자민,3 노시환,4 (0-2),우익수 방면 2루타,1사 1:0,1사 2루 1:0,0.62,0.266,0.484,36.80%,0.04
08월 15일, NC,8회초,류진욱,3 노시환,4 (3-0),4구,2사 1루 3:3,"2사 1,2루 3:3",1.8,0.215,0.269,51.60%,0.04
07월 27일, 키움,7회초,안우진,3 노시환,3 (0-2),우익수 방면 1루타,1사 0:2,1사 1루 0:2,0.91,0.266,0.264,81.30%,0.04
05월 12일, SSG,5회초,박종훈,3 노시환,6 (3-2),4구,무사 1루 3:1,"무사 1,2루 3:1",1.1,0.94,0.683,17.90%,0.04
04월 14일, KT,6회초,김민,3 노시환,6 (3-2),4구,"2사 1,3루 3:4",2사 만루 3:4,2.93,0.536,0.408,62.30%,0.039
05월 11일, 삼성,6회말,수아레즈,3 노시환,4 (1-2),좌중간 홈런,무사 0:3,무사 0:4,0.3,0.523,1,95.30%,0.039
09월 05일, SSG,1회말,맥카티,3 노시환,4 (3-0),4구,1사 1루 1:0,"1사 1,2루 1:0",1.23,0.53,0.447,48.60%,0.038
07월 27일, 키움,9회초,임창민,3 노시환,3 (1-1),좌익수 방면 1루타,2사 1루 0:2,"2사 1,2루 0:2",1.23,0.215,0.269,92.70%,0.038
05월 23일, KIA,1회말,앤더슨,4 노시환,5 (3-1),4구,무사 1루 0:2,"무사 1,2루 0:2",0.99,0.94,0.683,79.60%,0.037
07월 08일, SSG,8회말,노경은,3 노시환,3 (0-2),좌익수 방면 2루타,무사 9:5,무사 2루 9:5,0.6,0.523,0.726,7.90%,0.036
04월 01일, 키움,6회초,안우진,5 노시환,4 (2-1),좌익수 방면 1루타,1사 0:2,1사 1루 0:2,0.85,0.266,0.264,77.80%,0.036
07월 30일, SSG,4회초,오원석,3 노시환,7 (3-2),4구,무사 1:0,무사 1루 1:0,0.9,0.523,0.417,33.90%,0.036
08월 25일, KIA,1회초,산체스,3 노시환,6 (3-2),4구,1사 1루 0:0,"1사 1,2루 0:0",1.15,0.53,0.447,46.20%,0.036
07월 12일, LG,1회초,켈리,3 노시환,7 (3-2),좌익수 방면 1루타,1사 1루 0:0,"1사 1,2루 0:0",1.15,0.53,0.447,46.20%,0.036
05월 12일, SSG,1회초,박종훈,3 노시환,2 (1-0),좌익수 방면 1루타,1사 1루 0:0,"1사 1,2루 0:0",1.15,0.53,0.447,46.20%,0.036
09월 15일, LG,1회말,김윤식,3 노시환,6 (3-2),4구,1사 1루 0:0,"1사 1,2루 0:0",1.16,0.53,0.447,58.50%,0.035
08월 13일, 두산,1회말,최원준,3 노시환,4 (3-0),4구,1사 1루 0:0,"1사 1,2루 0:0",1.16,0.53,0.447,58.50%,0.035
06월 10일, LG,1회말,이민호,3 노시환,4 (2-1),좌익수 방면 1루타,1사 1루 0:0,"1사 1,2루 0:0",1.16,0.53,0.447,58.50%,0.035
04월 19일, 두산,1회말,김동주,3 노시환,7 (2-2),좌익수 방면 1루타,1사 1루 0:0,"1사 1,2루 0:0",1.16,0.53,0.447,58.50%,0.035
06월 15일, 롯데,3회초,나균안,3 노시환,7 (3-2),좌익수 방면 1루타,무사 1:0,무사 1루 1:0,0.87,0.523,0.417,35.20%,0.034
08월 13일, 두산,4회말,김명신,3 노시환,3 (1-1),좌익수 방면 1루타,2사 2루 2:6,2사 1루 2:7,0.38,0.373,0.842,94.40%,0.033
06월 11일, LG,4회말,박명근,3 노시환,4 (1-2),3루수 포구실책 출루,무사 10:6,무사 1루 10:6,0.76,0.523,0.417,17.30%,0.033
09월 07일, SSG,7회말,노경은,3 노시환,4 (3-0),4구,2사 1루 3:3,"2사 1,2루 3:3",1.48,0.215,0.269,57.40%,0.033
06월 04일, 삼성,5회말,수아레즈,5 노시환,1 (0-0),우익수 방면 1루타,1사 1루 5:6,"1사 1,2루 5:6",1.12,0.53,0.447,74.40%,0.032
06월 02일, 삼성,7회말,이승현,5 노시환,2 (0-1),우익수 방면 1루타,1사 7:4,1사 1루 7:4,0.7,0.266,0.264,12.80%,0.032
07월 02일, 삼성,8회초,이승현,3 노시환,6 (3-2),4구,2사 1:2,2사 1루 1:2,1.03,0.099,0.116,81.10%,0.031
06월 03일, 삼성,2회말,원태인,5 노시환,7 (2-2),우익수 방면 1루타,무사 0:1,무사 1루 0:1,0.77,0.523,0.417,68.90%,0.031
06월 06일, 두산,4회초,장원준,5 노시환,1 (0-0),좌익수 방면 1루타,1사 1:3,1사 1루 1:3,0.72,0.266,0.264,73.00%,0.03
06월 16일, 키움,12회말,임창민,3 노시환,4 (1-2),중견수 방면 1루타,2사 2:2,2사 1루 2:2,1.38,0.099,0.116,56.40%,0.029
06월 14일, 롯데,8회초,김강현,3 노시환,2 (1-0),좌익수 방면 1루타,1사 2루 7:4,1사 1루 8:4,0.36,0.75,0.78,3.40%,0.029
09월 21일, KIA,4회말,산체스,3 노시환,4 (1-2),중견수 방면 1루타,1사 2루 4:8,1사 1루 4:9,0.37,0.75,0.78,94.90%,0.028
07월 06일, 롯데,9회말,김원중,3 노시환,,자동 고의4구,2사 2루 4:3,"2사 1,2루 4:3",5.04,0.373,0.111,17.10%,0.028
05월 24일, KIA,9회말,정해영,4 노시환,4 (2-1),좌중간 홈런,1사 4:1,1사 4:2,0.5,0.266,1,4.40%,0.027
06월 06일, 두산,6회초,박치국,5 노시환,4 (2-1),우익수 방면 1루타,1사 1:4,1사 1루 1:4,0.61,0.266,0.264,86.30%,0.027
06월 07일, 두산,5회초,백승우,3 노시환,3 (1-1),좌익수 방면 1루타,1사 1루 2:0,"1사 1,2루 2:0",0.92,0.53,0.447,21.70%,0.026
