Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
04월 02일, 키움,5회말,김선기,8 김영웅,1 (0-0),중견수 방면 1루타,2사 4:1,2사 1루 4:1,0.4,0.107,0.115,15.80%,0.014
05월 02일, 두산,6회초,김택연,7 김영웅,2 (1-0),우익수 방면 1루타,2사 2:1,2사 1루 2:1,0.48,0.111,0.115,36.60%,0.014
05월 18일, 한화,1회말,조동욱,4 김영웅,1 (0-0),사구,"1사 2,3루 1:0",1사 만루 1:0,1.62,1.578,0.194,55.00%,0.014
04월 27일, 키움,8회초,조상우,6 김영웅,5 (3-1),4구,1사 2루 1:0,"1사 1,2루 1:0",1.26,0.778,0.213,21.70%,0.014
04월 06일, KIA,5회초,윤영철,5 김영웅,,1루주자 김영웅 : 2루 도루,2사 1루 2:3,2사 2루 2:3,1.16,0.23,0.163,66.40%,0.013
06월 01일, 한화,1회말,조동욱,5 김영웅,5 (2-2),2루수 포구실책 출루,1사 0:3,1사 1루 0:3,0.35,0.297,0.255,81.00%,0.013
04월 13일, NC,2회말,하트,6 김영웅,1 (0-0),우익수 방면 1루타,2사 0:0,2사 1루 0:0,0.43,0.116,0.121,52.40%,0.013
05월 21일, KT,1회말,육청명,4 김영웅,4 (3-0),4구,2사 2루 1:0,"2사 1,2루 1:0",1.18,0.4,0.105,43.90%,0.011
04월 16일, 두산,5회말,홍건희,6 김영웅,7 (3-2),4구,"2사 1,2루 2:5",2사 만루 2:5,0.69,0.513,0.4,89.50%,0.011
04월 11일, 롯데,4회초,이인복,6 김영웅,5 (2-2),중견수 방면 1루타,2사 2:0,2사 1루 2:0,0.34,0.116,0.121,28.80%,0.01
05월 24일, 롯데,8회초,홍민기,4 김영웅,6 (3-2),4구,1사 1루 7:4,"1사 1,2루 7:4",0.35,0.549,0.443,5.90%,0.009
06월 01일, 한화,1회말,조동욱,5 김영웅,,1루주자 김영웅 : 2루 도루,1사 1루 0:3,1사 2루 0:3,0.63,0.552,0.24,81.90%,0.009
03월 24일, KT,7회초,성재헌,9 김영웅,3 (2-0),우익수 뒤 홈런,무사 2루 7:1,무사 9:1,0.06,1.254,1.275,0.40%,0.008
04월 19일, 한화,7회초,이민우,6 김영웅,,1루주자 김영웅 : 폭투로 2루 진루,무사 1루 0:5,무사 2루 0:5,0.67,0.958,0.295,94.80%,0.006
05월 17일, 한화,6회말,장민재,4 김영웅,6 (3-2),타자주자 1루 진루,2사 2루 2:4,"2사 1,3루 2:4",0.97,0.506,0.065,84.90%,0.005
04월 17일, 두산,5회말,최준호,6 김영웅,4 (2-1),좌익수 방면 2루타,무사 2루 1:8,무사 2루 1:9,0.05,1.251,1,99.60%,0.004
04월 09일, 롯데,9회초,한현희,6 김영웅,3 (1-1),우익수 방면 1루타,"1사 1,2루 6:1","1사 1,3루 7:1",0.05,0.97,1.286,0.20%,0.004
04월 25일, LG,9회말,김유영,6 김영웅,1 (0-0),사구,1사 1루 8:2,"1사 1,2루 8:2",0.09,0.538,0.435,0.60%,0.003
05월 24일, 롯데,2회초,나균안,4 김영웅,4 (3-0),4구,2사 2루 5:0,"2사 1,2루 5:0",0.4,0.39,0.119,10.70%,0.003
05월 17일, 한화,7회말,한승혁,4 김영웅,3 (0-2),우익수 방면 1루타,2사 1루 2:6,"2사 1,2루 2:6",0.11,0.238,0.268,97.10%,0.002
05월 04일, 롯데,8회말,임준섭,5 김영웅,3 (0-2),투수 방면 내야 안타,2사 8:2,2사 1루 8:2,0.03,0.112,0.118,0.50%,0.002
03월 28일, LG,7회초,김유영,8 김영웅,2 (1-0),우익수 방면 1루타,1사 0:14,1사 1루 0:14,0,0.276,0.261,100.00%,0
05월 19일, 한화,8회말,김서현,4 김영웅,5 (3-1),4구,"2사 1,2루 12:1",2사 만루 12:1,0.01,0.51,0.403,0.00%,0
05월 26일, 롯데,9회초,최준용,4 김영웅,2 (0-1),중견수 플라이 아웃,2사 1루 1:9,이닝종료 1:9,0,0.242,-0.242,100.00%,0
05월 01일, 두산,9회초,박치국,6 김영웅,3 (0-2),2루수 땅볼 아웃,2사 9:2,이닝종료 9:2,0,0.111,-0.111,0.10%,0
04월 17일, 두산,7회말,박치국,6 김영웅,3 (1-1),1루수 땅볼 아웃,무사 1:9,1사 1:9,0.01,0.536,-0.26,99.90%,0
03월 24일, KT,8회초,김영현,9 김영웅,2 (0-1),1루수 땅볼 아웃,1사 1루 11:1,2사 2루 11:1,0,0.531,-0.151,0.00%,0
04월 24일, LG,8회말,이종준,6 김영웅,5 (3-1),1루수 땅볼 아웃,무사 0:6,1사 0:6,0.01,0.54,-0.265,99.80%,0
05월 19일, 한화,6회말,장시환,4 김영웅,2 (1-0),1루수 땅볼 아웃,2사 1루 12:0,이닝종료 12:0,0.02,0.242,-0.242,0.10%,0
04월 14일, NC,7회말,최성영,6 김영웅,3 (0-2),루킹 삼진,2사 1루 2:9,이닝종료 2:9,0.01,0.242,0.758,99.60%,0
04월 27일, 키움,8회초,이명종,6 김영웅,1 (0-0),3루수 파울플라이 아웃,"2사 1,2루 8:0",이닝종료 8:0,0.01,0.497,-0.497,0.20%,0
05월 24일, 롯데,9회초,정우준,4 김영웅,4 (1-2),루킹 삼진,"1사 2,3루 11:4","2사 2,3루 11:4",0.01,1.596,-0.98,0.10%,0
04월 28일, 키움,6회초,김동혁,6 김영웅,5 (1-2),1루수 파울플라이 아웃,무사 10:2,1사 10:2,0.02,0.546,-0.266,0.80%,-0.001
04월 18일, 두산,7회말,김택연,5 김영웅,4 (1-2),헛스윙 삼진,2사 0:5,이닝종료 0:5,0.03,0.108,-0.108,98.30%,-0.001
05월 10일, NC,8회초,김재열,4 김영웅,4 (1-2),루킹 삼진,1사 3:10,2사 3:10,0.03,0.282,-0.17,99.90%,-0.001
05월 19일, 한화,4회말,류현진,4 김영웅,3 (0-2),헛스윙 삼진,1사 1루 12:0,2사 1루 12:0,0.05,0.551,-0.309,0.30%,-0.001
05월 14일, SSG,8회초,한두솔,4 김영웅,5 (1-2),헛스윙 삼진,1사 만루 0:9,2사 만루 0:9,0.08,1.786,-0.849,99.90%,-0.002
