Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05월 19일, KT,1회초,성재헌,2 박해민,,1루주자 박해민 : 2루 도루,1사 1루 0:0,1사 2루 0:0,1.15,0.553,0.247,48.20%,0.016
05월 04일, 두산,5회말,이병헌,2 박해민,,1루주자 박해민 : 2루 도루,"2사 1,3루 3:2","2사 2,3루 3:2",2.73,0.574,0.044,42.80%,0.015
04월 30일, NC,4회초,이재학,2 박해민,1 (0-0),우익수 방면 1루타,무사 0:6,무사 1루 0:6,0.34,0.548,0.421,93.80%,0.015
05월 16일, 키움,4회말,후라도,2 박해민,,1루주자 박해민 : 2루 도루,"2사 1,3루 6:4","2사 2,3루 6:4",2.23,0.575,0.038,32.10%,0.014
04월 28일, KIA,6회말,최지민,1 박해민,8 (3-2),4구,1사 5:7,1사 1루 5:7,0.37,0.28,0.261,84.90%,0.014
05월 18일, KT,2회초,주권,2 박해민,1 (0-0),중견수 희생플라이 아웃,1사 만루 2:0,"2사 2,3루 3:0",1.88,1.772,-0.157,21.30%,0.013
04월 07일, KT,1회말,김민,2 박해민,,1루주자 박해민 : 2루 도루,"무사 1,3루 0:0","무사 2,3루 0:0",1.54,1.907,0.35,68.40%,0.013
04월 26일, KIA,3회말,네일,2 박해민,5 (3-1),4구,2사 4:1,2사 1루 4:1,0.38,0.11,0.116,20.50%,0.013
05월 21일, 한화,8회초,김규연,2 박해민,2 (0-1),유격수 방면 내야 안타,무사 3:8,무사 1루 3:8,0.27,0.562,0.422,97.10%,0.013
03월 24일, 한화,6회말,페냐,1 박해민,,1루주자 박해민 : 2루 도루,2사 1루 3:1,2사 2루 3:1,1.22,0.221,0.159,22.70%,0.012
04월 13일, 두산,8회초,김택연,2 박해민,5 (3-1),4구,2사 2:5,2사 1루 2:5,0.25,0.117,0.123,95.60%,0.011
05월 01일, NC,5회초,카스타노,1 박해민,3 (1-1),우익수 희생플라이 아웃,"1사 2,3루 2:1",2사 2루 3:1,1.6,1.617,-0.229,25.70%,0.011
04월 28일, KIA,6회말,최지민,1 박해민,,1루주자 박해민 : 2루 도루,1사 1루 5:7,1사 2루 5:7,0.68,0.541,0.233,86.00%,0.011
