Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
06월 02일, KT,4회말,쿠에바스,3 나성범,5 (2-2),헛스윙 삼진,무사 8:0,1사 8:0,0.17,0.567,-0.27,1.60%,-0.004
05월 23일, 롯데,1회초,윌커슨,3 나성범,6 (3-2),1루수 땅볼 아웃,"무사 1,2루 0:0","1사 2,3루 0:0",1.87,1.644,-0.052,41.50%,-0.005
05월 14일, 두산,8회말,이영하,5 나성범,3 (0-2),중견수 플라이 아웃,1사 1루 8:2,2사 1루 8:2,0.19,0.547,-0.314,0.50%,-0.005
05월 28일, NC,7회초,임정호,3 나성범,5 (1-2),헛스윙 삼진,"2사 1,2루 11:6",이닝종료 11:6,0.21,0.514,-0.514,3.70%,-0.005
05월 29일, NC,9회초,류진욱,3 나성범,7 (1-2),헛스윙 삼진,"1사 1,2루 6:3","2사 1,2루 6:3",0.27,0.994,-0.488,3.40%,-0.006
05월 18일, NC,6회초,최성영,3 나성범,1 (0-0),중견수 플라이 아웃,2사 2루 7:2,이닝종료 7:2,0.22,0.392,-0.392,5.40%,-0.006
05월 29일, NC,7회초,김재열,3 나성범,3 (0-2),낫아웃 삼진,1사 6:3,2사 6:3,0.27,0.297,-0.178,11.90%,-0.007
05월 30일, NC,4회초,전사민,3 나성범,6 (2-2),헛스윙 삼진,2사 3루 7:1,이닝종료 7:1,0.25,0.431,0.569,5.50%,-0.007
05월 25일, 두산,3회말,브랜든,4 나성범,8 (3-2),유격수 땅볼 아웃,무사 2루 0:2,1사 3루 0:2,0.81,1.264,-0.238,80.30%,-0.007
05월 30일, NC,3회초,김시훈,3 나성범,6 (2-2),3루수 플라이 아웃,2사 2:0,이닝종료 2:0,0.34,0.119,0.881,32.30%,-0.009
05월 21일, 롯데,1회초,반즈,4 나성범,4 (1-2),헛스윙 삼진,2사 1:0,이닝종료 1:0,0.37,0.118,-0.118,44.50%,-0.009
05월 30일, NC,1회초,김시훈,3 나성범,4 (1-2),루킹 삼진,2사 0:0,이닝종료 0:0,0.4,0.119,-0.119,54.80%,-0.01
05월 23일, 롯데,9회초,김상수,3 나성범,3 (1-1),2루수 땅볼 아웃,무사 3루 5:10,1사 6:10,0.37,1.529,-0.237,99.50%,-0.01
05월 19일, NC,1회초,이용준,3 나성범,7 (2-2),헛스윙 삼진,2사 0:0,이닝종료 0:0,0.4,0.118,-0.118,54.80%,-0.01
05월 09일, 삼성,1회초,이승현,3 나성범,3 (1-1),우익수 플라이 아웃,2사 0:0,이닝종료 0:0,0.4,0.112,-0.112,54.80%,-0.01
05월 08일, 삼성,1회초,원태인,3 나성범,4 (1-2),헛스윙 삼진,2사 0:0,이닝종료 0:0,0.4,0.112,-0.112,54.80%,-0.01
05월 10일, SSG,1회말,앤더슨,3 나성범,4 (1-2),헛스윙 삼진,2사 0:0,이닝종료 0:0,0.4,0.116,-0.116,50.00%,-0.01
05월 31일, KT,5회말,엄상백,3 나성범,10 (3-2),2루수 땅볼 아웃,2사 2:3,이닝종료 2:3,0.42,0.119,0.881,66.30%,-0.011
05월 03일, 한화,9회말,주현상,4 나성범,5 (2-2),헛스윙 삼진,무사 4:0,1사 4:0,0.44,0.55,-0.267,0.70%,-0.011
05월 22일, 롯데,6회초,박세웅,3 나성범,2 (0-1),1루수 땅볼 아웃,2사 1:3,이닝종료 1:3,0.49,0.116,-0.116,84.80%,-0.013
05월 02일, KT,5회말,엄상백,4 나성범,4 (1-2),헛스윙 삼진,2사 5:3,이닝종료 5:3,0.53,0.111,-0.111,21.70%,-0.014
05월 31일, KT,7회말,김민수,3 나성범,5 (2-2),2루수 땅볼 아웃,2사 7:5,이닝종료 7:5,0.62,0.119,0.881,13.40%,-0.016
05월 14일, 두산,6회말,브랜든,5 나성범,2 (0-1),중견수 플라이 아웃,2사 1루 6:2,이닝종료 6:2,0.56,0.233,-0.233,5.70%,-0.016
05월 17일, NC,5회초,김시훈,3 나성범,5 (2-2),헛스윙 삼진,1사 3:2,2사 3:2,0.69,0.29,-0.174,40.00%,-0.017
05월 29일, NC,3회초,하트,3 나성범,2 (0-1),2루수 땅볼 아웃,무사 3:1,1사 3:1,0.69,0.567,-0.27,30.20%,-0.018
05월 23일, 롯데,7회초,윌커슨,3 나성범,4 (1-2),헛스윙 삼진,2사 1루 3:6,이닝종료 3:6,0.71,0.238,-0.238,94.30%,-0.02
05월 31일, KT,3회말,엄상백,3 나성범,8 (0-2),루킹 삼진,무사 2:3,1사 2:3,0.8,0.567,-0.27,65.00%,-0.021
05월 12일, SSG,5회말,한두솔,3 나성범,3 (1-1),우익수 플라이 아웃,무사 1루 3:5,1사 1루 3:5,0.89,0.975,-0.43,81.60%,-0.021
05월 16일, 두산,5회말,박치국,3 나성범,3 (1-1),1루수 병살타 아웃,1사 1루 2:5,이닝종료 2:5,0.48,0.552,-0.552,86.70%,-0.021
05월 03일, 한화,4회말,산체스,4 나성범,2 (0-1),2루수 땅볼 아웃,1사 1:0,2사 1:0,0.85,0.283,-0.171,37.30%,-0.021
06월 01일, KT,5회말,육청명,3 나성범,2 (1-0),2루수 땅볼 아웃,무사 1:2,1사 1:2,0.84,0.567,-0.27,68.90%,-0.021
05월 03일, 한화,1회말,산체스,4 나성범,1 (0-0),2루수 땅볼 아웃,2사 1루 0:0,이닝종료 0:0,0.79,0.23,-0.23,50.00%,-0.022
05월 18일, NC,4회초,이재학,3 나성범,1 (0-0),좌익수 플라이 아웃,2사 3루 5:2,이닝종료 5:2,0.82,0.437,-0.437,21.10%,-0.023
05월 19일, NC,6회초,임정호,3 나성범,1 (0-0),투수 땅볼 아웃,무사 1:0,1사 1:0,0.97,0.56,-0.268,36.20%,-0.025
05월 09일, 삼성,6회초,이승현,3 나성범,4 (2-1),1루수 땅볼 아웃,무사 2:1,1사 2:1,0.97,0.552,-0.269,36.20%,-0.025
05월 18일, NC,3회초,이재학,3 나성범,8 (3-2),2루수 땅볼 아웃,무사 2:2,1사 2:2,0.99,0.559,-0.268,52.50%,-0.025
05월 21일, 롯데,6회초,반즈,4 나성범,5 (2-2),헛스윙 삼진,2사 1루 1:0,이닝종료 1:0,0.92,0.239,-0.239,39.20%,-0.026
05월 22일, 롯데,4회초,박세웅,3 나성범,2 (0-1),투수 땅볼 아웃,무사 0:2,1사 0:2,1.04,0.56,-0.268,76.00%,-0.027
05월 02일, KT,3회말,엄상백,4 나성범,5 (2-2),루킹 삼진,무사 5:3,1사 5:3,1.05,0.55,-0.267,29.70%,-0.027
06월 01일, KT,1회말,육청명,3 나성범,1 (0-0),좌익수 플라이 아웃,1사 1루 0:0,2사 1루 0:0,1.16,0.552,-0.309,52.20%,-0.028
05월 15일, 두산,1회말,최원준,3 나성범,5 (3-1),중견수 플라이 아웃,1사 1루 0:0,2사 1루 0:0,1.16,0.549,-0.314,52.20%,-0.028
05월 29일, NC,1회초,하트,3 나성범,1 (0-0),좌익수 플라이 아웃,1사 1루 0:0,2사 1루 0:0,1.15,0.552,-0.309,52.60%,-0.028
05월 10일, SSG,6회말,노경은,3 나성범,4 (1-2),헛스윙 삼진,1사 1:0,2사 1:0,1.15,0.292,-0.176,32.40%,-0.029
05월 12일, SSG,7회말,노경은,3 나성범,5 (1-2),루킹 삼진,1사 6:6,2사 6:6,1.15,0.287,-0.172,52.10%,-0.029
05월 14일, 두산,4회말,브랜든,5 나성범,5 (2-2),2루수 땅볼 아웃,무사 3:2,1사 3:2,1.19,0.556,-0.268,39.50%,-0.03
05월 12일, SSG,3회말,송영진,3 나성범,4 (1-2),3루수 플라이 아웃,1사 1루 2:2,2사 1루 2:2,1.31,0.546,-0.313,52.60%,-0.031
05월 25일, 두산,1회말,브랜든,4 나성범,4 (1-2),헛스윙 삼진,2사 2루 0:0,이닝종료 0:0,1.14,0.39,-0.39,50.00%,-0.032
05월 03일, 한화,6회말,산체스,4 나성범,4 (1-2),헛스윙 삼진,2사 2루 3:0,이닝종료 3:0,1.13,0.39,-0.39,10.30%,-0.032
05월 24일, 두산,1회말,곽빈,3 나성범,4 (1-2),루킹 삼진,1사 2루 1:0,2사 2루 1:0,1.29,0.791,-0.401,42.80%,-0.036
05월 10일, SSG,7회말,최민준,3 나성범,3 (0-2),낫아웃 삼진,"2사 1,2루 1:2",이닝종료 1:2,1.42,0.505,-0.505,74.80%,-0.037
05월 08일, 삼성,8회초,김재윤,3 나성범,4 (1-2),투수 땅볼 아웃,무사 0:2,1사 0:2,1.45,0.551,-0.268,90.30%,-0.037
06월 01일, KT,3회말,육청명,3 나성범,3 (1-1),우익수 플라이 아웃,2사 3루 1:0,이닝종료 1:0,1.62,0.424,-0.424,37.50%,-0.044
05월 16일, 두산,10회말,홍건희,3 나성범,4 (1-2),중견수 플라이 아웃,1사 7:7,2사 7:7,1.8,0.29,-0.174,53.50%,-0.045
05월 08일, 삼성,6회초,원태인,3 나성범,7 (2-2),헛스윙 삼진,무사 1루 0:0,1사 1루 0:0,2.14,0.973,-0.426,49.70%,-0.049
05월 18일, NC,1회초,이재학,3 나성범,1 (0-0),2루수 인필드플라이 아웃,"무사 1,2루 0:0","1사 1,2루 0:0",1.87,1.66,-0.66,46.20%,-0.052
05월 12일, SSG,1회말,송영진,3 나성범,11 (3-2),투수 땅볼 아웃,"무사 2,3루 2:0","1사 2,3루 2:0",1.65,2.257,-0.654,43.80%,-0.057
05월 19일, NC,9회초,이용찬,3 나성범,3 (0-2),헛스윙 삼진,무사 1:1,1사 1:1,2.32,0.56,-0.268,55.90%,-0.059
05월 08일, 삼성,10회초,오승환,3 나성범,1 (0-0),포수 플라이 아웃,무사 2:2,1사 2:2,2.32,0.551,-0.268,55.90%,-0.059
05월 16일, 두산,8회말,최지강,3 나성범,3 (0-2),1루수 땅볼 아웃,1사 2루 6:5,2사 3루 6:5,3.51,0.789,-0.348,27.40%,-0.085
08월 06일, 한화,9회말,박상원,4 나성범,1 (0-0),우익수 방면 1루타,"2사 1,2루 4:3","2사 1,3루 4:4",6.65,0.484,1.052,63.70%,0.467
06월 30일, LG,5회초,켈리,3 나성범,1 (0-0),우익수 뒤 홈런,1사 1루 2:1,1사 4:1,1.25,0.53,1.736,17.20%,0.186
09월 06일, 두산,3회초,곽빈,3 나성범,3 (1-1),우익수 뒤 홈런,1사 2루 0:0,1사 2:0,1.39,0.75,1.516,30.20%,0.177
08월 06일, 한화,8회말,정우람,4 나성범,6 (3-2),4구,"무사 1,2루 4:2",무사 만루 4:2,4.32,1.623,0.77,51.80%,0.155
09월 12일, 삼성,7회초,최지광,6 나성범,3 (0-2),좌중간 홈런,2사 2루 6:9,2사 8:9,0.9,0.373,1.726,77.00%,0.147
06월 28일, 키움,4회말,안우진,4 나성범,7 (3-2),좌익수 방면 2루타,무사 1루 4:2,"무사 2,3루 4:2",1.92,0.94,1.117,49.00%,0.137
08월 24일, KT,6회초,고영표,3 나성범,7 (2-2),우익수 방면 1루타,1사 2루 1:2,1사 1루 2:2,2.03,0.75,0.78,49.70%,0.135
09월 17일, 두산,5회말,알칸타라,3 나성범,2 (1-0),우익수 뒤 홈런,2사 1루 5:1,2사 5:3,0.59,0.215,1.884,23.10%,0.135
07월 09일, KT,7회초,박영현,3 나성범,5 (3-1),중견수 뒤 홈런,2사 1루 3:1,2사 5:1,0.58,0.215,1.884,6.60%,0.133
09월 19일, LG,8회말,최동환,3 나성범,4 (1-2),우익수 방면 1루타,"무사 2,3루 4:1",무사 1루 4:3,2.98,2.057,0.883,40.10%,0.129
09월 09일, LG,3회말,임찬규,3 나성범,2 (1-0),우익수 방면 2루타,2사 1루 0:1,2사 2루 0:2,0.75,0.215,1.158,75.70%,0.11
08월 12일, 롯데,1회초,정성종,4 나성범,2 (1-0),우익수 방면 2루타,2사 2루 0:0,2사 2루 1:0,0.79,0.215,1.158,41.60%,0.11
08월 04일, 한화,1회말,장민재,3 나성범,2 (1-0),중견수 뒤 홈런,2사 0:0,2사 0:1,0.4,0.099,1,61.40%,0.104
08월 02일, 삼성,1회초,최채흥,3 나성범,1 (0-0),우익수 뒤 홈런,2사 0:0,2사 1:0,0.4,0.099,1,43.60%,0.102
08월 05일, 한화,1회말,한승혁,4 나성범,2 (0-1),좌익수 방면 2루타,1사 1루 0:1,1사 2루 0:2,1,0.53,1.22,74.90%,0.1
07월 05일, SSG,1회초,박종훈,3 나성범,3 (1-1),우익수 방면 2루타,1사 2루 0:0,1사 2루 1:0,1.21,0.75,1,38.50%,0.097
09월 01일, SSG,3회초,엘리아스,3 나성범,8 (3-2),좌익수 방면 1루타,2사 2루 1:0,2사 1루 2:0,1.15,0.373,0.842,30.50%,0.096
07월 26일, NC,1회초,송명기,3 나성범,1 (0-0),좌익수 방면 1루타,"무사 1,2루 0:0","무사 1,2루 1:0",1.87,1.623,1,32.20%,0.088
09월 09일, LG,6회말,오석주,3 나성범,4 (2-1),우익수 뒤 홈런,무사 1루 6:8,무사 6:10,0.79,0.94,1.583,95.30%,0.085
07월 08일, KT,6회초,고영표,3 나성범,1 (0-0),우익수 뒤 홈런,무사 2:0,무사 3:0,0.66,0.523,1,13.40%,0.084
09월 10일, LG,1회말,최원태,3 나성범,4 (1-2),중견수 방면 1루타,1사 2루 0:0,1사 1루 0:1,1.21,0.75,0.78,64.90%,0.083
09월 15일, 두산,4회말,브랜든,3 나성범,3 (1-1),우익수 방면 2루타,무사 2:1,무사 2루 2:1,1.19,0.523,0.726,50.60%,0.081
06월 30일, LG,3회초,켈리,3 나성범,1 (0-0),좌익수 방면 1루타,"1사 1,3루 0:1","1사 1,2루 1:1",2.14,1.258,0.719,45.70%,0.079
08월 25일, 한화,5회말,산체스,3 나성범,7 (3-2),낫아웃 삼진,1사 2루 0:1,2사 0:2,1.18,0.75,0.623,80.60%,0.077
09월 19일, LG,8회말,고우석,3 나성범,,1루주자 나성범 : 폭투로 2루 진루,무사 1루 4:3,무사 2루 4:3,3.94,0.94,0.309,47.70%,0.075
08월 27일, 한화,6회말,문동주,3 나성범,6 (2-2),우익수 방면 1루타,무사 1루 2:2,"무사 1,2루 2:2",2.07,0.94,0.683,70.00%,0.074
08월 25일, 한화,1회말,산체스,3 나성범,3 (1-1),우익수 방면 1루타,1사 1루 0:0,"1사 1,3루 0:0",1.16,0.53,0.728,61.30%,0.063
08월 20일, 삼성,7회초,이승현,3 나성범,5 (1-2),우익수 뒤 홈런,2사 3:6,2사 4:6,0.32,0.099,1,87.60%,0.059
08월 24일, KT,9회초,주권,3 나성범,1 (0-0),중견수 방면 3루타,"2사 1,3루 5:3",2사 3루 7:3,0.62,0.536,1.851,1.50%,0.059
08월 17일, 키움,6회말,장재영,4 나성범,3 (2-0),우익수 방면 2루타,무사 1:2,무사 2루 1:2,0.83,0.523,0.726,80.10%,0.059
07월 02일, LG,6회초,이우찬,3 나성범,6 (3-2),좌익수 방면 1루타,무사 0:2,무사 1루 0:2,1.23,0.523,0.417,73.00%,0.053
09월 09일, LG,5회말,이우찬,3 나성범,2 (0-1),우익수 방면 1루타,무사 5:3,무사 1루 5:3,1.25,0.523,0.417,33.70%,0.053
09월 10일, LG,2회말,최원태,3 나성범,5 (2-2),우익수 방면 1루타,2사 3루 0:3,2사 1루 0:4,0.75,0.387,0.828,87.10%,0.052
09월 12일, 삼성,8회초,오승환,6 나성범,3 (1-1),유격수 포구실책 출루,"2사 1,2루 9:9",2사 만루 9:9,3.52,0.484,0.46,46.60%,0.051
08월 19일, 삼성,7회초,이상민,3 나성범,1 (0-0),중견수 희생플라이 아웃,"1사 1,3루 5:5",2사 1루 6:5,3.29,1.258,-0.043,33.40%,0.048
08월 02일, 삼성,4회초,최채흥,3 나성범,6 (3-2),우익수 방면 2루타,1사 1:3,1사 2루 1:3,0.72,0.266,0.484,71.30%,0.047
07월 29일, 롯데,5회말,심재민,3 나성범,3 (1-1),우익수 뒤 홈런,무사 0:3,무사 0:4,0.36,0.523,1,93.40%,0.046
08월 01일, 삼성,4회초,수아레즈,3 나성범,4 (1-2),중견수 방면 2루타,무사 1루 0:6,무사 2루 1:6,0.62,0.94,1.309,89.30%,0.045
07월 08일, KT,8회초,이상동,3 나성범,8 (3-2),우익수 뒤 홈런,1사 2루 3:0,1사 5:0,0.36,0.75,1.516,1.80%,0.045
07월 01일, LG,7회초,최동환,3 나성범,1 (0-0),좌익수 방면 1루타,1사 2루 5:3,"1사 2,3루 5:3",0.84,0.75,0.828,12.30%,0.044
08월 03일, 삼성,6회초,이재익,3 나성범,7 (3-2),4구,"무사 1,3루 4:4",무사 만루 4:4,2.06,1.809,0.584,27.10%,0.044
07월 29일, 롯데,4회말,이인복,3 나성범,6 (2-2),우익수 방면 1루타,무사 0:0,무사 1루 0:0,1.07,0.523,0.417,60.20%,0.042
08월 22일, KT,6회초,엄상백,3 나성범,6 (2-2),사구,1사 1:2,1사 1루 1:2,1.04,0.266,0.264,65.80%,0.041
08월 15일, 키움,7회말,김성진,4 나성범,2 (1-0),중견수 방면 1루타,2사 2루 9:5,2사 1루 9:6,0.61,0.373,0.842,9.30%,0.041
08월 05일, 한화,7회말,김범수,4 나성범,3 (1-1),우익수 방면 1루타,무사 1루 3:4,"무사 1,2루 3:4",1.15,0.94,0.683,86.00%,0.041
08월 04일, 한화,4회말,이충호,3 나성범,2 (0-1),좌익수 방면 1루타,1사 3루 1:3,1사 1루 1:4,1,0.979,0.551,86.40%,0.04
09월 18일, 두산,1회말,곽빈,3 나성범,5 (2-2),좌익수 방면 1루타,1사 1루 1:0,"1사 1,2루 1:0",1.23,0.53,0.447,48.60%,0.038
07월 27일, NC,4회초,페디,3 나성범,2 (0-1),좌익수 방면 1루타,무사 0:3,무사 1루 0:3,0.88,0.523,0.417,78.00%,0.038
08월 17일, 키움,2회말,장재영,4 나성범,2 (0-1),중견수 방면 1루타,무사 0:0,무사 1루 0:0,0.92,0.523,0.417,58.80%,0.037
