Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05월 14일, KIA,8회말,장현식,3 양의지,3 (2-0),좌익수 뒤 홈런,1사 1루 4:5,1사 4:7,0.7,0.53,1.736,97.10%,0.102
10월 16일, SSG,9회말,서진용,4 양의지,7 (3-2),1루수 포구실책 출루,2사 3:2,2사 2루 3:2,1.81,0.099,0.274,14.30%,0.096
06월 17일, LG,3회초,켈리,4 양의지,8 (3-2),중견수 방면 1루타,2사 2루 2:1,2사 1루 3:1,1.15,0.373,0.842,30.50%,0.096
09월 12일, 한화,1회말,이태양,4 양의지,1 (0-0),좌익수 방면 1루타,"1사 1,2루 0:0","1사 1,2루 0:1",1.91,0.977,1,67.90%,0.094
04월 05일, NC,1회말,신민혁,5 양의지,6 (1-2),유격수 방면 내야 안타,"2사 2,3루 0:0","2사 1,3루 0:1",1.95,0.634,0.902,64.70%,0.09
04월 08일, KIA,5회초,임기영,5 양의지,2 (0-1),중견수 방면 1루타,"무사 2,3루 2:2","무사 1,3루 3:2",1.8,2.057,0.752,22.90%,0.088
04월 19일, 한화,4회초,장민재,4 양의지,4 (2-1),중견수 방면 1루타,무사 2루 2:2,무사 1루 3:2,1.49,1.249,0.691,33.90%,0.087
10월 08일, 롯데,4회말,반즈,4 양의지,2 (0-1),좌익수 방면 1루타,무사 2루 0:0,무사 1루 0:1,1.44,1.249,0.691,72.00%,0.086
04월 01일, 롯데,1회말,스트레일리,5 양의지,6 (3-2),좌익수 방면 1루타,"1사 1,3루 0:1",2사 0:3,1.57,1.258,0.841,78.80%,0.084
09월 21일, 삼성,6회초,뷰캐넌,4 양의지,4 (1-2),좌중간 홈런,무사 3:1,무사 4:1,0.66,0.523,1,13.40%,0.084
05월 21일, KT,1회초,벤자민,3 양의지,5 (2-2),중견수 방면 1루타,1사 2루 0:0,1사 1루 1:0,1.21,0.75,0.78,40.00%,0.082
06월 14일, NC,9회초,이용찬,3 양의지,4 (3-0),4구,1사 1루 4:4,"1사 1,2루 4:4",3.04,0.53,0.447,41.90%,0.08
05월 09일, 롯데,7회초,신정락,4 양의지,2 (0-1),우익수 방면 2루타,"2사 1,3루 3:1","2사 2,3루 4:1",1.25,0.536,1.098,10.00%,0.08
05월 31일, NC,3회초,이용준,3 양의지,7 (3-2),4구,"무사 1,2루 0:0",무사 만루 0:0,2.09,1.623,0.77,31.80%,0.08
06월 02일, KT,7회초,이채호,3 양의지,1 (0-0),우익수 뒤 홈런,2사 1루 3:0,2사 5:0,0.34,0.215,1.884,3.50%,0.079
04월 19일, 한화,9회초,강재민,4 양의지,3 (0-2),중견수 방면 1루타,무사 5:7,무사 1루 5:7,1.5,0.523,0.417,85.10%,0.075
08월 24일, 키움,3회초,맥키니,4 양의지,4 (2-1),중견수 방면 1루타,1사 1루 3:4,"1사 1,3루 3:4",1.39,0.53,0.728,53.70%,0.074
06월 02일, KT,1회초,배제성,3 양의지,4 (1-2),좌익수 방면 1루타,"무사 1,2루 0:0",무사 만루 0:0,1.87,1.623,0.77,33.80%,0.072
06월 14일, NC,5회초,조민석,3 양의지,5 (3-1),4구,무사 1루 3:3,"무사 1,2루 3:3",1.93,0.94,0.683,38.20%,0.071
05월 13일, KIA,5회말,메디나,3 양의지,5 (2-2),좌익수 뒤 홈런,1사 1루 0:3,1사 0:5,0.48,0.53,1.736,95.90%,0.071
05월 20일, KT,5회초,배제성,3 양의지,3 (1-1),좌익수 방면 1루타,1사 2루 2:0,1사 1루 3:0,0.97,0.75,0.78,15.90%,0.071
05월 23일, 삼성,1회말,원태인,3 양의지,6 (2-2),우익수 방면 1루타,"무사 1,2루 0:0",무사 만루 0:0,1.83,1.623,0.77,70.70%,0.07
07월 02일, 롯데,8회초,구승민,4 양의지,3 (1-1),중견수 방면 1루타,무사 2:2,무사 1루 2:2,1.85,0.523,0.417,43.20%,0.068
09월 15일, KIA,1회초,윤영철,4 양의지,1 (0-0),우익수 방면 1루타,"1사 1,3루 0:0","1사 1,2루 1:0",1.81,1.258,0.719,36.80%,0.067
08월 27일, SSG,1회말,문승원,4 양의지,6 (3-2),4구,"1사 1,2루 2:0",1사 만루 2:0,2.06,0.977,0.688,45.40%,0.065
09월 18일, KIA,3회초,황동하,4 양의지,1 (0-0),좌익수 뒤 홈런,무사 1루 4:0,무사 6:0,0.59,0.94,1.583,5.80%,0.065
07월 29일, LG,6회말,정우영,4 양의지,4 (1-2),우익수 방면 1루타,무사 4:3,무사 1루 4:3,1.57,0.523,0.417,45.60%,0.063
07월 27일, 롯데,2회말,반즈,4 양의지,2 (0-1),중견수 방면 2루타,무사 0:0,무사 2루 0:0,0.92,0.523,0.726,61.40%,0.063
04월 18일, 한화,2회초,문동주,4 양의지,3 (2-0),우익수 방면 2루타,무사 0:0,무사 2루 0:0,0.93,0.523,0.726,43.70%,0.063
06월 13일, NC,1회초,이용준,3 양의지,6 (2-2),좌익수 방면 1루타,1사 1루 0:0,"1사 1,3루 0:0",1.15,0.53,0.728,43.50%,0.063
08월 26일, SSG,9회말,서진용,4 양의지,6 (3-2),우익수 방면 1루타,1사 7:5,1사 1루 7:5,1.19,0.266,0.264,10.60%,0.061
06월 18일, LG,2회초,플럿코,4 양의지,4 (1-2),좌익수 방면 2루타,무사 0:2,무사 2루 0:2,0.92,0.523,0.726,64.00%,0.061
04월 29일, SSG,2회초,오원석,5 양의지,3 (2-0),사구,무사 1루 0:2,"무사 1,2루 0:2",1.56,0.94,0.683,60.20%,0.061
09월 21일, 삼성,1회초,뷰캐넌,4 양의지,5 (2-2),우익수 방면 1루타,"1사 1,2루 0:0",1사 만루 0:0,1.93,0.977,0.688,40.30%,0.059
05월 17일, 키움,3회초,정찬헌,3 양의지,3 (1-1),중견수 방면 2루타,무사 4:3,무사 2루 4:3,0.87,0.523,0.726,32.70%,0.059
07월 04일, 삼성,7회초,양창섭,4 양의지,5 (2-2),좌익수 방면 2루타,무사 0:3,무사 2루 0:3,0.92,0.523,0.726,83.90%,0.058
10월 02일, 키움,1회말,장재영,4 양의지,1 (0-0),사구,"1사 1,2루 0:0",1사 만루 0:0,1.91,0.977,0.688,64.30%,0.058
05월 12일, KIA,1회말,이의리,3 양의지,2 (1-0),우익수 방면 1루타,1사 3루 0:0,1사 1루 0:1,1.35,0.979,0.551,64.90%,0.055
07월 05일, 삼성,5회초,홍정우,4 양의지,6 (3-2),4구,무사 1루 3:2,"무사 1,2루 3:2",1.5,0.94,0.683,26.70%,0.055
09월 09일, 삼성,3회말,최하늘,6 양의지,1 (0-0),좌익수 방면 2루타,"2사 1,2루 0:2",이닝종료 0:3,1.16,0.484,-0.484,81.80%,0.055
06월 16일, LG,6회초,정우영,3 양의지,2 (0-1),2루수 방면 내야 안타,무사 2:4,무사 1루 2:4,1.23,0.523,0.417,73.00%,0.053
